image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
none,none,1.755092475675476e+18,-159.91439819335938,-5.108452796936035,-38.433387756347656,374.10748291015625,-63.92582321166992,-75.96337127685547,-668.7258911132812,436.17083740234375,119.4817123413086
none,none,1.7550924756854758e+18,-156.77101135253906,-7.112693786621094,-38.593505859375,375.8439636230469,-63.10745620727539,-77.88885498046875,-669.8102416992188,437.0664978027344,119.05565643310547
none,none,1.7550924756954757e+18,-153.72702026367188,-9.03303050994873,-38.817840576171875,377.74530029296875,-62.31027603149414,-79.81402587890625,-670.9478759765625,438.0865783691406,118.73922729492188
/home/pi/360_images/20250813/image_1755092475682189726.png,1755092475682189726,1.7550924757054758e+18,-150.87515258789062,-11.08665943145752,-39.067352294921875,379.44049072265625,-61.52302932739258,-81.7608642578125,-672.0025634765625,439.23590087890625,118.48701477050781
none,none,1.755092475715476e+18,-147.79977416992188,-13.261727333068848,-39.202144622802734,381.17431640625,-60.80411911010742,-83.71875762939453,-673.0131225585938,440.507568359375,118.19650268554688
none,none,1.7550924757254758e+18,-144.92752075195312,-15.375088691711426,-39.373085021972656,383.21826171875,-60.15679168701172,-85.68270874023438,-674.1818237304688,441.9568786621094,117.87486267089844
none,none,1.7550924757354757e+18,-141.7499237060547,-17.703147888183594,-39.54277038574219,385.1116027832031,-59.71169662475586,-87.67012023925781,-675.4471435546875,443.5570983886719,117.6142807006836
none,none,1.7550924757454758e+18,-138.83982849121094,-19.737943649291992,-39.67999267578125,386.8501892089844,-59.25571823120117,-89.65522003173828,-676.5421142578125,445.205078125,117.38847351074219
/home/pi/360_images/20250813/image_1755092475747591899.png,1755092475747591899,1.755092475755476e+18,-135.4326629638672,-22.264965057373047,-39.826507568359375,388.72503662109375,-58.59736633300781,-91.63262939453125,-677.5157470703125,446.7516174316406,117.15160369873047
none,none,1.7550924757654758e+18,-132.38963317871094,-24.409454345703125,-39.97053527832031,390.6916809082031,-58.21266174316406,-93.60973358154297,-678.7824096679688,448.39971923828125,116.87901306152344
none,none,1.7550924757754757e+18,-129.2768096923828,-26.536819458007812,-40.08123016357422,392.5062255859375,-57.99639129638672,-95.51824188232422,-680.238525390625,450.20697021484375,116.64112854003906
none,none,1.7550924757854758e+18,-125.90532684326172,-28.961421966552734,-40.2020263671875,394.2041015625,-57.695411682128906,-97.49163818359375,-681.4341430664062,452.239990234375,116.4287338256836
none,none,1.755092475795476e+18,-122.9216079711914,-30.98604965209961,-40.34152603149414,395.9586181640625,-57.42317581176758,-99.45661163330078,-682.614990234375,454.31939697265625,116.22991943359375
/home/pi/360_images/20250813/image_1755092475780895736.png,1755092475780895736,1.7550924758054758e+18,-119.56510925292969,-33.518577575683594,-40.56814956665039,397.9602355957031,-57.28668975830078,-101.43434143066406,-684.0895385742188,456.3777770996094,115.99378967285156
none,none,1.7550924758154757e+18,-116.52706146240234,-35.548065185546875,-40.728397369384766,399.8877258300781,-57.152557373046875,-103.41232299804688,-685.5146484375,458.4757080078125,115.79833984375
none,none,1.7550924758254758e+18,-113.16788482666016,-38.05862045288086,-40.92906188964844,401.6946105957031,-57.163169860839844,-105.36775970458984,-686.7576293945312,460.54473876953125,115.5941390991211
none,none,1.755092475835476e+18,-110.03050994873047,-40.239715576171875,-41.061553955078125,403.6233215332031,-56.976383209228516,-107.30079650878906,-688.341796875,462.6261901855469,115.29806518554688
none,none,1.7550924758454758e+18,-106.70404052734375,-42.48897171020508,-41.19435501098633,405.5262756347656,-57.06337356567383,-109.20854949951172,-690.0138549804688,464.706787109375,115.07279205322266
/home/pi/360_images/20250813/image_1755092475848858835.png,1755092475848858835,1.7550924758554757e+18,-103.3648452758789,-44.919864654541016,-41.3843879699707,407.3738098144531,-57.373390197753906,-111.07947540283203,-691.4719848632812,466.821044921875,114.86724090576172
